epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.751,0.56591,3.12527,1.05886,0.69343,0.29528,0.53125,0.49398,0.31931,3.06255,0.83089,0.000327485,0.000327485,0.000327485
2,926.708,0.57315,1.97273,1.03136,0.65605,0.80202,0.8539,0.79958,0.38825,2.06338,0.88173,0.000647735,0.000647735,0.000647735
3,1358.45,0.58888,1.61686,1.02976,0.94298,0.89454,0.93244,0.85812,0.41036,2.03017,0.88177,0.000954784,0.000954784,0.000954784
4,1795.17,0.58732,1.47586,1.03505,0.85825,0.93079,0.92567,0.84289,0.43097,1.54784,0.88362,0.0009406,0.0009406,0.0009406
5,2228.13,0.56758,1.29591,1.0047,0.94354,0.87247,0.95869,0.88161,0.4192,1.40586,0.88635,0.0009208,0.0009208,0.0009208
6,2662.32,0.57001,1.25831,1.00198,0.94175,0.9407,0.96254,0.89378,0.38867,1.27724,0.88022,0.000901,0.000901,0.000901
7,3088.97,0.55851,1.14989,0.98902,0.92846,0.96841,0.96799,0.90814,0.36796,1.10127,0.85753,0.0008812,0.0008812,0.0008812
8,3511.23,0.56758,1.13547,0.99939,0.92289,0.94836,0.96912,0.92067,0.35006,1.03039,0.84834,0.0008614,0.0008614,0.0008614
9,3933.49,0.51703,1.08312,0.97423,0.92462,0.96563,0.96136,0.91727,0.32282,0.98563,0.8345,0.0008416,0.0008416,0.0008416
10,4365.5,0.49543,0.98813,0.9738,0.92986,0.96286,0.9858,0.95164,0.32467,0.91136,0.83545,0.0008218,0.0008218,0.0008218
11,4822.61,0.49637,0.95791,0.96083,0.92104,0.96008,0.9801,0.92827,0.33838,0.8631,0.84105,0.000802,0.000802,0.000802
12,5269.92,0.52468,0.89971,0.97536,0.91977,0.98488,0.98742,0.93655,0.35011,0.78944,0.84667,0.0007822,0.0007822,0.0007822
13,5707.51,0.48944,0.84073,0.9662,0.92517,0.96937,0.97078,0.9228,0.32647,0.82069,0.83749,0.0007624,0.0007624,0.0007624
14,6141.36,0.46608,0.82894,0.94487,0.92008,0.9948,0.9836,0.94202,0.3078,0.72654,0.83361,0.0007426,0.0007426,0.0007426
15,6580.96,0.47525,0.79855,0.95569,0.93547,0.95104,0.98125,0.94549,0.30588,0.68359,0.82624,0.0007228,0.0007228,0.0007228
16,7038.64,0.4524,0.76083,0.94307,0.90345,0.9929,0.97919,0.93999,0.29681,0.6748,0.82488,0.000703,0.000703,0.000703
17,7477.01,0.47166,0.76369,0.94752,0.9406,0.96724,0.98619,0.95251,0.28644,0.63378,0.8277,0.0006832,0.0006832,0.0006832
