epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,603.439,0.54027,2.90854,1.03211,0.61444,0.47622,0.62485,0.57596,0.39985,2.81139,0.91793,0.000329167,0.000329167,0.000329167
2,1200.69,0.59165,1.78308,1.02085,0.88798,0.90337,0.92892,0.8633,0.37274,1.64594,0.88273,0.000649383,0.000649383,0.000649383
3,1798.37,0.58159,1.49225,1.02031,0.84296,0.86553,0.92791,0.86041,0.37226,1.63545,0.8769,0.000956398,0.000956398,0.000956398
4,2365.22,0.60005,1.41943,1.02218,0.87833,0.95754,0.94686,0.84147,0.46614,1.49076,0.93492,0.0009406,0.0009406,0.0009406
5,2960.98,0.57307,1.25875,1.01466,0.89672,0.97285,0.94014,0.8917,0.33199,1.21179,0.85484,0.0009208,0.0009208,0.0009208
6,3528.36,0.52563,1.12442,0.9861,0.93058,0.97397,0.95245,0.90355,0.32328,1.06589,0.85799,0.000901,0.000901,0.000901
7,4107.37,0.53411,1.04312,0.97731,0.92106,0.97461,0.95405,0.90226,0.33644,1.07477,0.85646,0.0008812,0.0008812,0.0008812
8,4675.01,0.50787,0.96093,0.96747,0.93706,0.97789,0.97503,0.93007,0.34525,0.8851,0.86423,0.0008614,0.0008614,0.0008614
9,5240.81,0.5004,0.90355,0.96519,0.9412,0.99442,0.96782,0.91656,0.3252,0.75933,0.84653,0.0008416,0.0008416,0.0008416
10,5829.61,0.52979,0.86786,0.97652,0.94722,0.987,0.97315,0.9356,0.29408,0.70557,0.84093,0.0008218,0.0008218,0.0008218
11,6399.53,0.48766,0.81894,0.95981,0.92117,0.98683,0.96787,0.92012,0.31615,0.76174,0.84581,0.000802,0.000802,0.000802
12,6970.7,0.48523,0.77917,0.96495,0.92335,0.94973,0.96919,0.93352,0.30652,0.67129,0.84864,0.0007822,0.0007822,0.0007822
13,7538.64,0.47679,0.75547,0.96068,0.92061,0.99119,0.96041,0.91788,0.31902,0.6366,0.85195,0.0007624,0.0007624,0.0007624
14,8091.8,0.48381,0.73546,0.96137,0.90758,0.9838,0.95797,0.9199,0.29495,0.62585,0.83774,0.0007426,0.0007426,0.0007426
15,8643.78,0.47817,0.72566,0.95668,0.91591,0.97716,0.95232,0.92643,0.28105,0.59748,0.83289,0.0007228,0.0007228,0.0007228
16,9198.05,0.42979,0.67373,0.92249,0.92332,0.98227,0.95319,0.9325,0.26664,0.56017,0.82137,0.000703,0.000703,0.000703
17,9775.72,0.46402,0.68415,0.94448,0.91951,0.98693,0.95676,0.93662,0.26899,0.55177,0.83009,0.0006832,0.0006832,0.0006832
18,10346.4,0.46365,0.61838,0.94842,0.94136,0.9643,0.97537,0.95608,0.25249,0.51515,0.82013,0.0006634,0.0006634,0.0006634
19,10947.7,0.46974,0.64155,0.96105,0.93514,0.9772,0.96235,0.93603,0.27266,0.50977,0.82945,0.0006436,0.0006436,0.0006436
20,11510.3,0.45912,0.61297,0.94181,0.95463,0.99402,0.96497,0.9373,0.27281,0.44853,0.83435,0.0006238,0.0006238,0.0006238
21,12071.9,0.4406,0.58662,0.93311,0.93438,0.9893,0.96189,0.93597,0.2708,0.46702,0.83034,0.000604,0.000604,0.000604
22,12622.9,0.39692,0.52977,0.91253,0.9225,0.98272,0.97038,0.94536,0.26346,0.45788,0.82311,0.0005842,0.0005842,0.0005842
23,13173.6,0.42586,0.55012,0.92784,0.93133,0.97989,0.95874,0.9369,0.25805,0.43827,0.81819,0.0005644,0.0005644,0.0005644
24,13726.7,0.42392,0.52104,0.92899,0.94573,0.96621,0.9828,0.96219,0.25574,0.42224,0.81784,0.0005446,0.0005446,0.0005446
25,14290.6,0.40774,0.50979,0.93351,0.92697,0.97824,0.96682,0.9459,0.2468,0.42011,0.82089,0.0005248,0.0005248,0.0005248
26,14867.2,0.39253,0.50646,0.92444,0.93664,0.98617,0.97732,0.96364,0.23018,0.37975,0.81209,0.000505,0.000505,0.000505
27,15421.5,0.40231,0.50974,0.93456,0.93938,0.99795,0.96169,0.94528,0.24183,0.37025,0.81109,0.0004852,0.0004852,0.0004852
28,15974,0.40193,0.47566,0.91864,0.93073,1,0.9606,0.94357,0.23676,0.38441,0.81128,0.0004654,0.0004654,0.0004654
29,16524.3,0.38469,0.47794,0.91461,0.94067,0.98593,0.96941,0.9492,0.23613,0.35945,0.80822,0.0004456,0.0004456,0.0004456
30,17075.3,0.3702,0.44431,0.8972,0.92303,0.99328,0.96437,0.94939,0.22944,0.3583,0.80586,0.0004258,0.0004258,0.0004258
31,17631.5,0.38651,0.46014,0.91514,0.93115,0.99423,0.96504,0.95407,0.21668,0.34136,0.80208,0.000406,0.000406,0.000406
32,18185.4,0.37538,0.46049,0.91323,0.94537,0.99375,0.97347,0.96212,0.22503,0.32853,0.80628,0.0003862,0.0003862,0.0003862
33,18738.7,0.3602,0.42814,0.9026,0.94223,0.97494,0.96747,0.9543,0.22007,0.35417,0.80286,0.0003664,0.0003664,0.0003664
34,19292.7,0.36079,0.41625,0.90097,0.93833,0.98566,0.96302,0.95438,0.21964,0.33151,0.80309,0.0003466,0.0003466,0.0003466
35,19849.5,0.35944,0.42347,0.90959,0.95084,0.98901,0.96561,0.95591,0.23226,0.3295,0.80581,0.0003268,0.0003268,0.0003268
36,20406.7,0.35456,0.41923,0.90324,0.93788,0.99822,0.96592,0.9598,0.22258,0.33036,0.80764,0.000307,0.000307,0.000307
37,20963.4,0.33402,0.38283,0.88787,0.94214,0.99571,0.97247,0.96308,0.21085,0.3072,0.80092,0.0002872,0.0002872,0.0002872
38,21520.2,0.35026,0.40514,0.90622,0.94367,0.99514,0.96306,0.95381,0.21581,0.31042,0.80216,0.0002674,0.0002674,0.0002674
39,22074.9,0.33922,0.37385,0.90194,0.94804,0.99856,0.96266,0.95228,0.21384,0.29759,0.80223,0.0002476,0.0002476,0.0002476
40,22629.5,0.35455,0.38564,0.90615,0.94893,0.99407,0.96511,0.95413,0.21471,0.29101,0.80334,0.0002278,0.0002278,0.0002278
41,23183.4,0.21945,0.27185,0.79519,0.95048,0.98791,0.96578,0.96094,0.1963,0.30829,0.79439,0.000208,0.000208,0.000208
42,23741.1,0.22056,0.27195,0.80202,0.94935,0.98863,0.97029,0.95448,0.21675,0.30107,0.79883,0.0001882,0.0001882,0.0001882
43,24298.3,0.22386,0.26196,0.79783,0.94228,1,0.97091,0.95791,0.21299,0.2947,0.79667,0.0001684,0.0001684,0.0001684
44,24869.7,0.22176,0.25671,0.78622,0.95307,1,0.96798,0.95867,0.20457,0.29015,0.79626,0.0001486,0.0001486,0.0001486
45,25438,0.21645,0.24559,0.78294,0.95028,1,0.98287,0.97074,0.20237,0.27407,0.79787,0.0001288,0.0001288,0.0001288
46,26004.8,0.20527,0.24042,0.78531,0.95309,1,0.9703,0.96202,0.19782,0.26397,0.79434,0.000109,0.000109,0.000109
47,26551.6,0.20603,0.22753,0.78445,0.95261,0.99884,0.96964,0.96292,0.19551,0.26942,0.7937,8.92e-05,8.92e-05,8.92e-05
48,27097.5,0.19924,0.22028,0.78473,0.95249,0.99774,0.96821,0.96072,0.19106,0.26623,0.79275,6.94e-05,6.94e-05,6.94e-05
49,27639.2,0.19515,0.2215,0.7799,0.95278,0.99986,0.97203,0.9633,0.1904,0.26392,0.79146,4.96e-05,4.96e-05,4.96e-05
50,28182.2,0.19195,0.21417,0.78227,0.95153,0.99887,0.9747,0.96628,0.18975,0.26615,0.79144,2.98e-05,2.98e-05,2.98e-05
